﻿CountryName,Renew_output,Elec_power_cons,Income_group,elec_access,pop
"Congo, Rep.",58.05882353,214.6247238,Lower middle income,41.6,"45,10,198"
Costa Rica,91.84195007,"1,942.83",Upper middle income,99.503298,"46,88,000"
Cote d'Ivoire,26.43956671,234.7870172,Lower middle income,55.8,"2,15,47,188"
Croatia,49.67431323,"3,819.28",High income,100,"42,67,558"
Cuba,3.711743,"1,379.22",Upper middle income,98.34130096,"1,12,57,101"
Curacao,3.489640131,"5,062.86",High income,100,"1,52,088"
Cyprus,5.448378206,"4,035.08",High income,100,"11,35,046"
Czech Republic,9.303586466,"6,304.57",High income,100,"1,05,10,785"
Denmark,48.32741605,"6,038.55",High income,100,"55,91,572"
Djibouti,0,,Lower middle income,54.6,"8,68,136"
Dominica,22.32620321,,Upper middle income,96.76582336,"70,965"
Dominican Republic,14.47658882,"1,499.36",Upper middle income,97.86705,"99,30,911"
Early-demographic dividend,18.40720877,"1,095.42",,81.38001655,"2,99,43,62,709"
East Asia & Pacific,16.82560299,"3,391.50",,96.43510178,"2,23,68,19,053"
East Asia & Pacific (excluding high income),19.97490351,"2,717.60",,96.04336559,"1,99,43,91,099"
East Asia & Pacific (IDA & IBRD countries),19.80566511,"2,743.83",,96.82429529,"1,96,95,62,739"
Ecuador,54.86934827,"1,277.04",Upper middle income,97.194929,"1,54,74,102"
"Egypt, Arab Rep.",8.87941298,"1,685.47",Lower middle income,99.7,"8,64,22,240"
El Salvador,60.23729357,915.689405,Lower middle income,93.680571,"62,37,923"
Equatorial Guinea,3.414634146,,Upper middle income,65.67723084,"10,31,191"
Eritrea,0.557103064,92.92024643,Low income,42.03316879,
Estonia,12.34227459,"6,689.37",High income,100,"13,22,696"
Eswatini,43.79221615,,Lower middle income,55.29926682,"10,79,288"
Ethiopia,99.84193888,57.21097047,Low income,35.04212952,"9,27,26,971"
Euro area,24.26701512,"6,637.19",,100,"33,61,59,194"
Europe & Central Asia,24.23053443,"5,525.97",,99.975915,"89,37,88,643"
Europe & Central Asia (excluding high income),17.44390544,"4,357.73",,99.94373215,"38,25,09,767"
Europe & Central Asia (IDA & IBRD countries),17.29151047,"4,234.28",,99.95162267,"44,48,98,524"
European Union,25.00920753,"6,248.06",,100,"44,13,95,932"
Faroe Islands,37.91518611,,High income,100,"47,843"
Fiji,66.23115866,,Upper middle income,91.13180542,"8,65,069"
Finland,40.56184403,"15,689.22",High income,100,"54,13,971"
Fragile and conflict affected situations,41.23852821,503.546397,,49.17393668,"68,03,26,998"
France,14.82735407,"7,363.42",High income,100,"6,56,59,809"
French Polynesia,28.02489944,,High income,100,"2,68,998"
Gabon,42.51386322,988.7510988,Upper middle income,89.3,"17,49,682"
"Gambia, The",0,,Low income,50.36622238,"19,05,011"
Georgia,74.50232078,"2,329.93",Upper middle income,100,"37,28,874"
Germany,23.00045854,"7,270.15",High income,100,"8,04,25,823"
Ghana,67.12408516,342.2005829,Lower middle income,69.21807098,"2,59,96,449"
Gibraltar,0,"5,082.33",High income,100,"33,646"
Greece,16.70369091,"5,534.90",High income,100,"1,10,45,011"
Greenland,75.02783359,,High income,100,"56,810"
Grenada,0,,Upper middle income,90.48232269,"1,07,446"
Guam,0,,High income,100,"1,59,996"
Guatemala,66.88270293,550.2659935,Upper middle income,86.53546143,"1,47,81,942"
Guinea,67.37637363,,Low income,26.2,"1,06,52,029"
Guinea-Bissau,0,,Low income,14.68250847,"16,04,979"
Guyana,0,,Upper middle income,85.004982,"7,55,399"
Haiti,20.09090909,46.14215491,Low income,37.9,"1,02,50,930"
Heavily indebted poor countries (HIPC),67.28142713,201.9916043,,32.86845142,"66,01,93,774"
High income,18.68268018,"8,989.77",,99.97101777,"1,19,15,04,218"
Honduras,49.30232558,636.6388984,Lower middle income,83.607727,"86,40,691"
"Hong Kong SAR, China",0.234270415,"6,031.24",High income,100,"71,50,100"
Hungary,7.639670853,"3,923.04",High income,100,"99,20,362"
IBRD only,22.23484529,"2,237.65",,92.80579878,"4,51,54,89,549"
Iceland,99.98290501,"53,202.83",High income,100,"3,20,716"
IDA & IBRD total,23.04022444,"1,835.83",,82.25732745,"5,94,39,59,246"
IDA blend,31.64155819,374.6728299,,61.35933802,"47,83,36,539"
IDA only,50.26669516,271.3818139,,42.64683729,"95,01,33,158"
IDA total,42.08861513,311.9832335,,48.91289449,"1,42,84,69,697"
India,15.73297336,723.2354613,Lower middle income,79.9,"1,26,57,82,790"
Indonesia,11.23681448,733.3718268,Upper middle income,96,"24,84,52,413"
"Iran, Islamic Rep.",4.985527537,"2,784.62",Upper middle income,99.46337891,"7,55,39,862"
Iraq,9.544091442,"1,141.14",Upper middle income,99.3,"3,18,90,011"
Ireland,19.36553554,"5,651.01",High income,100,"45,99,533"
Isle of Man,1.486988848,,High income,100,"84,533"
Israel,0.768217386,"7,184.50",High income,100,"79,10,500"
Italy,31.02039032,"5,397.74",High income,100,"5,95,39,717"
Jamaica,10.92415871,"1,037.60",Upper middle income,93.1,"28,42,132"
Japan,11.19424738,"7,998.35",High income,100,"12,76,29,000"
Jordan,0.421788383,"1,917.59",Upper middle income,99.5,"80,90,872"
Kazakhstan,8.231250741,"5,180.65",Upper middle income,99.79270172,"1,67,92,090"
Kenya,74.77653973,150.4394903,Lower middle income,40.79266357,"4,43,43,410"
Kiribati,0,,Lower middle income,79.63653565,"1,06,370"
"Korea, Dem. People's Rep.",70.18091079,652.9677574,Low income,34.02750015,"2,48,00,612"
"Korea, Rep.",1.335945078,"10,305.33",High income,100,"5,01,99,853"
Kosovo,1.615345785,"2,859.82",Upper middle income,100,"18,07,106"
Kuwait,0,"16,053.85",High income,100,"33,48,853"
Kyrgyz Republic,93.47969409,"1,809.10",Lower middle income,99.8,"56,07,200"
Lao PDR,100,,Lower middle income,76.36662775,"64,44,530"
Late-demographic dividend,23.83233777,"3,393.94",,98.80740716,"2,20,69,31,625"
Latin America & Caribbean,54.88542745,"2,130.83",,96.61324086,"60,30,96,247"
Latin America & Caribbean (excluding high income),57.22791551,"2,064.70",,96.48363834,"57,22,23,264"
Latin America & the Caribbean (IDA & IBRD countries),56.60351149,"2,144.53",,96.5526268,"58,70,01,215"
Latvia,66.62883087,"3,587.93",High income,100,"20,34,319"
Least developed countries: UN classification,52.49421398,187.2131258,,38.48391398,"87,68,69,863"
Lebanon,6.792121948,"2,487.44",Upper middle income,99.99239349,"55,38,634"
Lesotho,100,,Lower middle income,20.56,"20,14,990"
Liberia,0,,Low income,9.300168991,"41,35,659"
Libya,0,"2,241.26",Upper middle income,78.08058929,"62,85,750"
Liechtenstein,95.69266589,,High income,100,"36,615"
Lithuania,26.12055641,"3,607.70",High income,100,"29,87,773"
Low & middle income,23.10207697,"1,803.60",,81.83246497,"5,89,42,56,711"
Low income,59.42676609,,,32.26061432,"55,93,35,524"
Lower middle income,19.62815487,697.9908566,,74.94371452,"2,62,84,65,458"
Luxembourg,11.17156329,"14,703.94",High income,100,"5,30,946"
"Macao SAR, China",0,,High income,100,"5,64,039"
Madagascar,49.68950637,,Low income,18.50801086,"2,23,46,641"
Malawi,91.3475557,,Low income,7.4,"1,53,96,005"
Malaysia,7.383484272,"4,338.56",Upper middle income,99.8,"2,90,68,159"
Maldives,0.602006689,,Upper middle income,99.63046265,"3,97,237"
Mali,57.49284404,,Low income,25.6,"1,59,79,499"
Malta,1.133391456,"5,002.05",High income,100,"4,20,028"
Marshall Islands,0.257400257,,Upper middle income,90.63284302,"56,717"
Mauritania,0,,Lower middle income,36.43714523,"37,06,554"
Mauritius,20.7007508,"2,075.04",High income,97.38735199,"12,55,882"
Mexico,13.78813129,"2,253.51",Upper middle income,99.111637,"11,72,74,155"
"Micronesia, Fed. Sts.",1.060927554,,Lower middle income,69.35610962,"1,04,506"
Middle East & North Africa,3.149777444,"2,750.66",,96.58512222,"40,19,74,219"
Middle East & North Africa (excluding high income),5.80779092,"1,643.70",,96.02122644,"34,50,04,009"
Middle East & North Africa (IDA & IBRD countries),5.811754224,"1,643.70",,95.97522266,"34,10,24,011"
Middle income,22.67233053,"1,903.74",,87.02984004,"5,33,49,21,187"
Moldova,4.636332299,"1,885.32",Lower middle income,100,"28,59,458"
Monaco,0,,High income,100,"36,460"
Mongolia,0,"1,588.13",Lower middle income,83.41954804,"28,24,699"
Montenegro,51.93389592,"5,415.72",Upper middle income,100,"6,20,601"
Morocco,8.629961588,876.8452391,Lower middle income,93.75356293,"3,32,41,898"
Mozambique,99.86153238,459.967096,Low income,21.40014076,"2,48,62,648"
Myanmar,72.36302646,156.0090076,Lower middle income,54.99359894,"5,14,13,698"
Namibia,97.80888618,"1,660.76",Upper middle income,46.46304321,"21,94,784"
Nauru,0.421940928,,High income,99.02133942,"10,279"
Nepal,99.46509009,120.8972465,Lower middle income,74.94395447,"2,69,89,862"
Netherlands,12.11446495,"6,876.59",High income,100,"1,67,54,962"
New Caledonia,20.11049386,,High income,100,"2,59,000"
New Zealand,71.8665281,"9,360.95",High income,100,"44,08,100"
Nicaragua,42.81815927,569.3247301,Lower middle income,80.47660065,"59,82,526"
Niger,0,49.33917259,Low income,14.4,"1,77,95,191"
Nigeria,19.71364872,156.7971855,Lower middle income,53.27933121,"16,72,28,767"
North America,18.61499715,"13,202.21",,100,"34,86,10,010"
North Macedonia,16.67198978,"3,680.80",Upper middle income,100,"20,74,278"
Northern Mariana Islands,0,,High income,100,"54,311"
Norway,97.95491121,"24,070.99",High income,100,"50,18,573"
Not classified,,,,,
OECD members,20.39318401,"7,880.87",,99.81446544,"1,30,20,75,111"
Oman,0,"6,176.91",High income,100,"34,98,029"
Other small states,26.19335033,,,68.94724694,"2,72,27,319"
Pacific island small states,41.11567003,,,73.08157525,"22,68,708"
Pakistan,31.06059818,427.8479759,Lower middle income,70.63609314,"18,72,81,475"
Palau,0,,High income,97.63042631,"17,640"
Panama,62.93153551,"1,955.38",High income,92.00650787,"37,70,624"
Papua New Guinea,37.32731137,,Lower middle income,33.56210709,"76,31,002"
Paraguay,99.99501951,"1,359.03",Upper middle income,97.835616,"64,21,512"
Peru,55.250319,"1,238.09",Upper middle income,91.099508,"2,95,06,788"
Philippines,28.44448101,664.1214695,Lower middle income,87.40706635,"9,72,12,638"
Poland,10.43775624,"3,899.18",High income,100,"3,80,63,164"
Portugal,42.50043883,"4,736.35",High income,100,"1,05,14,844"
Post-demographic dividend,19.55275222,"9,015.75",,99.97716619,"1,08,23,27,434"
Pre-demographic dividend,45.94719038,236.5290665,,37.21253566,"77,55,73,001"
Puerto Rico,0.698647422,,High income,100,"36,34,488"
Qatar,0,"14,853.32",High income,100,"21,96,074"
Romania,25.39558308,"2,604.24",High income,100,"2,00,58,035"
Russian Federation,15.56373111,"6,617.13",Upper middle income,100,"14,32,01,721"
Rwanda,46.26090939,,Low income,17.5,"1,05,49,678"
Samoa,32.79857398,,Upper middle income,97.28211975,"1,89,088"
San Marino,0,,High income,100,"32,105"
Sao Tome and Principe,8.322496749,,Lower middle income,57.9,"1,88,404"
Saudi Arabia,0.00036808,"8,502.78",High income,100,"2,91,55,187"
Senegal,9.826086957,215.4903701,Lower middle income,56.5,"1,34,01,991"
Serbia,25.68908794,"4,386.53",Upper middle income,100,"71,99,077"
Seychelles,0,,High income,98.6097641,"88,303"
Sierra Leone,66.09951307,,Low income,16.85102844,"67,12,581"
Singapore,1.358284899,"8,673.99",High income,100,"53,12,437"
Sint Maarten (Dutch part),0,,High income,100,"34,640"
Slovak Republic,19.32363739,"5,137.79",High income,100,"54,07,579"
Slovenia,27.84280937,"6,718.98",High income,100,"20,57,159"
Small states,23.90347298,,,74.13257731,"3,65,68,688"
Solomon Islands,0,,Lower middle income,42.25375366,"5,56,064"
Somalia,0,,Low income,24.37812614,"1,27,15,510"
South Africa,0.602950811,"4,366.03",Upper middle income,85.3,"5,28,32,659"
South Asia,17.19476415,637.2221168,,77.15647283,"1,68,37,47,130"
South Asia (IDA & IBRD),17.19476415,637.2221168,,77.15647283,"1,68,37,47,130"
South Sudan,0.449438202,41.42916991,Low income,8.7647686,"1,01,13,647"
Spain,29.58474801,"5,573.40",High income,100,"4,67,73,055"
Sri Lanka,29.24124023,524.3084455,Lower middle income,87,"2,04,25,000"
St. Kitts and Nevis,3.581267218,,High income,100,"49,881"
St. Lucia,0,,Upper middle income,95.34342258,"1,76,646"
St. Martin (French part),0,,High income,100,"37,009"
St. Vincent and the Grenadines,17.98043728,,Upper middle income,95.34954834,"1,08,435"
Sub-Saharan Africa,24.0912317,497.4762149,,37.53408761,"91,77,25,627"
Sub-Saharan Africa (excluding high income),24.13356262,494.7530142,,37.44617466,"91,63,81,442"
Sub-Saharan Africa (IDA & IBRD countries),24.0912317,497.4762149,,37.53408761,"91,77,25,627"
Sudan,70.14624841,211.1412338,Low income,42.33979034,"3,61,93,783"
Suriname,63.23529412,"3,314.57",Upper middle income,94.15994263,"5,41,247"
Sweden,59.06774977,"14,289.60",High income,100,"95,19,374"
Switzerland,59.4746111,"7,886.09",High income,100,"79,96,861"
Syrian Arab Republic,9.228006158,"1,363.68",Low income,91.13237763,"2,04,42,541"
Tajikistan,99.56403912,"1,761.05",Low income,99.1,"78,74,835"
Tanzania,32.18822687,97.80568213,Lower middle income,15.3,"4,70,52,481"
Thailand,8.390870733,"2,443.62",Upper middle income,99.10862355,"6,78,35,957"
Timor-Leste,0,,Lower middle income,55.71687698,"11,32,994"
Togo,84.68468469,144.3796672,Low income,39.10566711,"67,73,807"
Tonga,0,,Upper middle income,92.8,"1,02,737"
Trinidad and Tobago,0,"6,612.80",High income,100,"13,44,817"
Tunisia,1.721942307,"1,408.87",Lower middle income,99.5,"1,08,47,002"
Turkey,27.23051742,"2,768.97",Upper middle income,99.99124908,"7,46,53,016"
Turkmenistan,0,"2,428.86",Upper middle income,99.98242188,"52,67,900"
Turks and Caicos Islands,0,,High income,93.1,"34,066"
Tuvalu,0,,Upper middle income,97.6717774,"10,739"
Uganda,87.00017191,,Low income,18.60691643,"3,45,59,168"
Ukraine,5.663354557,"3,640.55",Lower middle income,99.86749117,"4,55,93,342"
United Arab Emirates,0,"10,416.01",High income,100,"91,41,596"
United Kingdom,11.42396018,"5,449.26",High income,100,"6,37,00,215"
United States,12.00739706,"12,966.12",High income,100,"31,38,30,990"
Upper middle income,23.40063125,"3,063.21",,98.76792855,"2,70,64,55,729"
Uruguay,61.74388978,"2,946.46",High income,100,"33,78,974"
Uzbekistan,21.35238095,"1,610.81",Lower middle income,99.91741943,"2,97,74,500"
Vanuatu,15.3674833,,Lower middle income,43.6569252,"2,49,499"
"Venezuela, RB",67.41140786,"3,304.22",Upper middle income,99.32654572,"2,93,62,449"
Vietnam,45.01921899,"1,206.30",Lower middle income,99.03380585,"8,98,02,487"
Virgin Islands (U.S.),0.971550609,,High income,100,"1,08,188"
West Bank and Gaza,0,,Lower middle income,99.96303558,"39,79,998"
World,20.90153641,"3,049.31",,84.83252783,"7,08,57,60,929"
"Yemen, Rep.",0,193.8040086,Low income,72.95188141,"2,44,73,178"
Zambia,99.85446313,733.2119794,Lower middle income,27.2000885,"1,44,65,121"
Zimbabwe,60.39335,608.7625049,Lower middle income,44,"1,31,15,131"
